,Unnamed: 0,Tour_Name,Tour_Type,Number_of_Reviewer,Duration,Price,Highlight,Location,Rating
2999,2999,"Battambang Tour: Bamboo Train, Killing Cave, Monkey forest, Sunset Bat cave",Nature-and-Wildlife,4.0, 4 to 5 hours (approx.),$15.00 ,"Transportation: Tuk tuk, Driver as English speaking tour guide, Bottled water","Battambang, Cambodia",star-5
1636,1636,1697. 1 Day- Remote temple Koh Ker and Preah Vihea temple,Full-day Tours,,9–11 hours,170,"All local applicable taxes, English Speaking Guide, Experienced & safe driver, Free cool & cool towels during touring","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3184,3184,Phnom Penh sightseeing Tour And Gun shooting range tour,Extreme Sports,, 1 day 6 hours (approx.),,Private transportation,"Phnom Penh, Cambodia",
3458,3458,Architecture Paths of Phnom Penh,Bus-and-Minivan-Tours,, 1 to 10 hours (approx.),$215.80 ,"Local English speaking guide, Tours and transfers as mentioned by private air-conditioned vehicles, Lunch at Khema la Poste, Sunset cruise with drinks and snacks., Lunch, Snacks, Bottled water, Alcoholic Beverages","Phnom Penh, Cambodia",
3457,3457,Angkor Wat Tour for Families,Half-day-Tours,6.0, 5 to 6 hours (approx.),$64.11 ,"Transport, English-Speaking Tour Guide, Cool Towels, Cold Water","Siem Reap, Cambodia",star-5
1291,1291,1352. Kompong Pluk by Half day afternoon Shared Tour,Bus Tours,,5 hours,43.08,"Entry fee and boat ticket, Air conditioned vehicle, Drinking Water and cold towel, Hotel pick up and drop off, professional English Speaking guide, Note: we use motor bike for one pax per day, 3 pax with Lexus and 4 by min van","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3597,3597,Private Siem Reap City Tour,Half-day-Tours,, 6 hours (approx.),$89.75 ,"Professional English speaking tour guide, Tuk Tuk and licensed driver, Cool pure drinking water and towels., pick up and drop off","Siem Reap, Cambodia",
2489,2489,Half-Day Phnom Penh City Tours,Half-day-Tours,3.0, 4 to 5 hours (approx.),$75.00 ,"Hotel Pick-Up and Drop-Off, Luxury Private Tour, Cold Bottle Of Water During Your Trip, Comfortable Luxury Transportation, Local Licencing Tour Guide, All Entrance Fee Are Mentioned","Phnom Penh, Cambodia",star-4.5
1520,1520,1581. Angkor Wat Small tour,6+ hours,,6+ hours,20,Bottled water,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1853,1853,1914. Siem Reap Discovery Half Day Private Guided Tour,Bus Tours,,4 hours,52.06,"Private Guide, Bottled water, Morning or Afternoon tea, Driver, Hotel pickup, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1136,1136,1197. Phnom Penh to Sihanoukville by Private Car or Minivan,Skip the line Tickets,1.0,4 hours,49,"Good car with good air conditioning, Door To Door Service, Free transfer from & to Your Hotel, Toilet stop (more stops on request), Entry/Admission - Ream, Guaranteed to skip the lines","Asia, Cambodia, Sihanoukville Province, Ream, Things to Do in Ream, Ream Tours, Tours and Tickets",4
3304,3304,Siem Reap Street Food Tour,Half-day-Tours,, 4 to 5 hours (approx.),$32.25 ,"Pick up & drop off from / at your hotel, Experienced English speaking guide, Tuk Tuk (2 persons per Tuk Tuk), Food or Fruit Tasting & Light Dinner on the street, Cool water and towels","Siem Reap, Cambodia",
3649,3649,"Private 2 Days Angkor Wat Sunrise Tours, Floating Village Tour & Beng Mealea",Overnight-Tours,13.0, 2 days  (approx.),,"Private transportation, Cold waters and wipes, Toll roads and parking fees, gasoline, Privatge guide","Svay Dangkum, Cambodia",star-5
1631,1631,1692. 2 Days Angkor Complex-Big Circuit and Banteay Srei Tour-Small Group,Bus Tours,,2 days,52,"Experience English Speaking Tour guide, Air-conditioned vehicle, Bottle of Water, Hotel pick-up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3445,3445,Highlight of Battambang,Bus-and-Minivan-Tours,, 5 to 8 hours (approx.),$70.52 ,"All taxes, fees and handling charges, Local taxes, Professional guide, Hotel pickup and drop-off, Private tour","Battambang, Cambodia",
1998,1998,2059. Private Tuk Tuk Tour Angkor Wat and Small Circle and Five Extras,Full-day Tours,,11–13 hours,23,"English-speaking driver, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
663,663,724. MotoGirl - Day Tour,Half-day Tours,4.0,3 hours,58.47,"High quality helmet, Bottled water, Private transportation, Raincoat (if needed)​​, Entry/Admission - Royal Palace, Entry/Admission - National Museum, Entry/Admission - Wat Phnom","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
683,683,744. 2-Day Siem Reap Angkor Bicycle Experience,Overnight Tours,4.0,2 days,50,"Use of Bicycle and Helmet, Excellent English Speaking guide (Spanish, French, German, Italian is subject to extra charge), Drinking water during tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1257,1257,1318. Pink Tower Ta Som Preah Khan Pre Rup by Shared Tour,Full-day Tours,,6+ hours,25.98,"Professional English Speaking guide, hotel Pick(7:30 to 8:25), Hotel drop off, Cold battles of water, cold towels, air conditioned mini bus, Note: we use motor bike for one pax per day, 3 pax with Lexus and 4 by min van","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3559,3559,Discover Angkor Wat Full Day -Small Group,Full-day-Tours,, 8 hours (approx.),$22.00 ,"English Speaking Tour Guide, Hotel Pick up and Drop Off, Air-condition Vehicle, Bottle Of Water","Siem Reap, Cambodia",
317,317,"378. Angkor Wat 1Day Visit,Siem Reap,Cambodia",Full-day Tours,2.0,5–6 hours,25,"All local Applicable taxes, Cold Towel & Cold Water during tour, Hotel pick up & Drop off, Professional English Tour Guide, Return hotel about 1.00 PM","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
648,648,"709. Preah Khan, Ta Prohm, Bayon Off Beaten Track",Full-day Tours,5.0,6+ hours,102.57,"Bottle Water, Private Tour, Tour Guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1434,1434,1495. Private Kulen 1000 Shiva Lingas waterfall Private Tour,Nature Parks,,6+ hours,102.57,"English speaking guide with license, motor bike driver and helmet, Cold bottle of water and towels, Gratuity is recommended, pick up and drop off","Asia, Cambodia, Siem Reap Province, Things to Do in Siem Reap Province, Siem Reap Province Tours",
1479,1479,1540. Tuk Tuk Tour (Full-Day),Tuk Tuk Tours,,4–8 hours,29,"Donation to local business where we stop to help their living., Tuk Tuk driver with many experiences., Local English-Speaking Guide, water and snacks fruit","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets",
709,709,770. Private Tour to Kulen Waterfalls National Park (Guided Tour with Driver),Adventure Tours,3.0,5–6 hours,65,"Air-conditioned vehicle, Private transportation, Drinking Water, Tour Guide and Driver, All taxes included","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3430,3430,Private Angkor Wat Sunrise Bayon Ta Prohm by bike,Bike-and-Mountain-Bike-Tours,, 10 hours (approx.),$76.93 ,"Professional English speaking guide with license, Standard bicycles, Cool pure drinking water, Gratuity is recommended, Fruit Snacks, Tuk tuk is following up","Siem Reap, Cambodia",
1282,1282,1343. Banteay Srei-Grand Tour Full Day - Small Group,Full-day Tours,,6+ hours,32,"Experience English tour guide, Air-condition vehicle, Bottle water, Hotel Pick-up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1768,1768,1829. 5-day Phnom Penh Takeo Silk Island Shopping,Bus Tours,,3+ days,646.16,"Breakfast, Lunch, Dinner, Breakfast, Lunch, Breakfast, Breakfast, Lunch, Accommodation in Double/Twin shared with daily breakfast, English-speaking tour guide (other languages available upon request), Entrance fees as mentioned in the program, Water during transfer, Air-conditioned vehicle, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - National Museum, Entry/Admission - Wat Phnom, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Tonle Bati","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
972,972,1033. Siem Reap Rustic Side Quad Bike Adventure,Bike Tours,1.0,1 hour,47,"Hotel pick up and drop off, Quad bike for one adult, Quad bike instructor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2675,2675,"3-Days Discovery Of Angkor: Waterfalls,Floating Village and Banteay Srei temple",Multi-day-Tours,175.0, 3 days  (approx.),$183.08 ,"Professional English speaking tour guide & driver, Hotel Pick up & Drop off, Private transport with air-conditioning ( Car/Minivan), Cool water and cool towel during this tour, Breakfast ( Cambodia rice noodle with green curry and desserts)","Siem Reap, Cambodia",star-5
2680,2680,Private Oudong Temples & Phnom Prasith Tour from Phnom Penh,Day-Trips,5.0, 5 to 6 hours (approx.),$139.00 ,"Hotel pickup and drop-off, Shared transport by air conditioned vehicle, English Speaking Guide, Entrance ticket, Cold bottled water","Phnom Penh, Cambodia",star-5
1306,1306,1367. Tamao Mountain and Tonle Bati Private Day Trip from Phnom Penh,Bus Tours,1.0,5–7 hours,150,"Private Tour Guide, Private Transportation, Pure Drinking Water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
1400,1400,1461. Majestic Angkor Tour - Siem Reap 4 days,Multi-day Tours,,3+ days,327.18,"3 nights accommodation based on double/twin/triple sharing, single room is available upon your request with surcharge, All activities, Local English speaking guide, Transport by private vehicle, Meals as per itinerary (B=breakfast), Bottled water, Breakfast","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1408,1408,1469. Private Taxi-Siem Reap~Phnom Penh(SUV Car),5 hours,,5 hours,120,"Private transportation, Air-conditioned vehicle, WiFi on board","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3296,3296,"Private Banteay Chhmar, Banteay Toap & Ang Trapaeng Thma Guided Tour",Day-Trips,1.0, 12 hours (approx.),$143.23 ,"12 hour tour of Banteay Chhmar, Banteay Toap & Ang Trapaeng Thma, Hotel pickup and drop-off, Cold towels, Private transport by air-conditioned vehicle, Professional English-speaking guide, Bottled water","Siem Reap, Cambodia",star-5
2237,2237,2298. Discovery Silk Island Tok Tok Tours,Bus Tours,,5 hours,87.18,"Cold hand tower, Bottled water, Private English Speaking Guide, Hotel pickup and drop-off, Private tour, Private Tuk Tuk","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
3302,3302,"Angkor Wat Private Driver Tours to Angkor Wat Sunrise, Angkor Thom & Ta Prohm",Day-Trips,30.0, 7 to 8 hours (approx.),,"Air-conditioned vehicle, Private transportation, Tour Guide Service, Cold Drinks & Cold Towels","Svay Dangkum, Cambodia",star-5
1496,1496,1557. Temples with Sunset and Sunrise Private Tour - 2 Days,Adventure Tours,,2 days,50,"Professional English Speaking tour guide, Private Air-con vehicle, Hotel pickup and drop-off, Bottled water & cool towel, Entry/Admission - Angkor Thom, Entry/Admission - Banteay Srei, Entry/Admission - Bayon Temple, Entry/Admission - Neak Pean, Entry/Admission - Banteay Samre, Entry/Admission - Pre Rup, Entry/Admission - Angkor Wat, Entry/Admission - Preah Khan, Entry/Admission - Ta Nei Temple, Entry/Admission - Ta Prohm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3419,3419,"5HR: Phnom Kulen, 1000 Linga River and Waterfall Small Group Day Private Tour",Day-Trips,, 5 hours (approx.),$45.00 ,"Group tour, Local live English Speaking Guide, Shared air conditioned van/bus, Bottled water, Hotel pickup and drop-off","Siem Reap, Cambodia",
2038,2038,"2099. 1 Day Tour to Preah Vihear, Koh Ker & Beng Mealea temple",11–12 hours,,11–12 hours,125,"Experienced & safe driver, Private vehicle by air-conditioned vehicle, Free cool & cool towels during touring, All local applicable taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1529,1529,1590. Beng Mealea & Floating Village Private Tour,Bus Tours,,6+ hours,205,"Transportation in private air-conditioned vehicles, English speaking guide, Cold drink water on tour, Entry/Admission - Kompong Phluk, Entry/Admission - Beng Mealea","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1663,1663,1724. Private Tour 4 days Angkor area from Siem Reap,Bus Tours,,3+ days,307.7,"English speaking tour guide, Pick up and Transfer to hotel., Meng Mealea Pass., Lexus or Van with air-conditioning, Unlimited Cool pure drinking water and towels, Bottled water, Local taxes, All activities, Gratuity is recommended","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1354,1354,1415. Phnom Penh Extreme Outdoor Shooting Range,1 day,,1 day,656.42,"Transport to up and down from airport to the Phnom Penh Extreme Outdoor Shooting Range, Transport to up and down from your hotel location to the Phnom Penh Extreme Outdoor Shooting Range, The weapons as mentioned above, Video service and also plus edited, Cold beers and bottles of waters, Optional, if you would like to have photo shooting, please inquire us.","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
3678,3678,Half Day Angkor Wat by Tuk Tuk,Half-day-Tours,, 4 hours (approx.),$83.34 ,"A half day tour with a professional English-speaking guide., Joined / Private tours and transfers with a professional English-speaking guide, Transportation by local Tuk Tuk (maximum 2 persons per Tuk Tuk) with professional driver, All entrance fees for visits as mentioned in the description, Entrance fees for the Angkor Archaeological Site for one day, All applicable taxes and service charges","Siem Reap, Cambodia",
3704,3704,1-D adventure tour to Preah Vihear and Koh Ker temple,Day-Trips,, 10 to 12 hours (approx.),$168.92 ,"Air-conditioned vehicle, Bottled water, English-speaking tour guide.","Siem Reap, Cambodia",
1643,1643,1704. Phnom Penh Airport Pickup/Transfer,30–120 minutes,,30–120 minutes,18.14,"Air-conditioned vehicle, Private transportation, Bottled water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
1051,1051,1112. Kompong Phluk- Floating Village,Full-day Tours,1.0,1 day,45,"Private transportation, Tour Guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
795,795,856. 2-Days Private Tour Explore Angkor Wat Temple Complex and Floating Village,Bus Tours,2.0,2 days,85,"Private transportation, English tour guide, Cold towel and cold water, Pick up & drop off your hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2693,2693,discover floating villages and tonle sap lake by boat,Nature-and-Wildlife,57.0, 4 hours (approx.),$39.00 ,"English speaking professional local guides, meals on the Queen Tara Riverboat, 2 drinks (soft drink, beers, cocktails, wines or champagne, Tour of the floating fishing villages, All check point fees, Free hotel pickup and drop-off in air conditioned taxi or tuk tuk, Restroom on board","Siem Reap, Cambodia",star-4
3060,3060,Best of Sihanoukville City Tour from Cruise Port or Hotel,Half-day-Tours,4.0, 5 to 6 hours (approx.),$77.93 ,"Pickup-drop off from GATE 1 of the port if you arrive by cruise or Hotel pickup and drop-off, Shared air conditioned car, minivan or bus (depends on group size, Local English Speaking Guide, Bottled waters, Group tour","Sihanoukville, Cambodia",star-4.5
1597,1597,1658. Private Transfer: Hotel to Phnom Penh Airport,40 minutes,,40 minutes,13,"Meet and greet service at the hotel with welcome signage, Private one way airport transfer, Professional driver","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
2604,2604,Private Angkor Wat Sunrise Tour,Full-day-Tours,82.0, 8 hours (approx.),$26.00 ,"Experienced and licensed English Speaking Tour Guide, Air-conditioned vehicle, Bottled water, Hotel Pick up and Drop Off","Siem Reap, Cambodia",star-5
2729,2729,Angkor’s Finest Examples in Brief,Full-day-Tours,4.0, 9 hours 30 minutes (approx.),$121.80 ,"A full day tour with a professional English-speaking guide, Transportation by air-conditioned vehicle with professional driver, One day pass into the Angkor Archaeological site, All taxes and service fees included","Siem Reap, Cambodia",star-5
2625,2625,Half Day Kompong Pluck Floating Village on Tonle Sap with Sunset,Nature-and-Wildlife,7.0, 6 hours (approx.),$18.00 ,"Air-conditioned vehicle, English speaking guide, Boat ride around the village and sun set, Cool water, Pick up /Drop off","Siem Reap, Cambodia",star-5
1819,1819,1880. Oudong Mountain Culture & Wellness Experience,Bus Tours,,6+ hours,209,"Transportation by A/C vehicle on private basis, English speaking tour guide, Hotel pickup, Bottled water, All admission fees","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
3157,3157,Private Taxi tour: Explore Angkor Temples with Sunrise,Extreme Sports,, 7 to 8 hours (approx.),$27.00 ,"Vaccinated Experienced English Speaking Driver with license, Private Vehicle With Air-conditioned, Free Cool Water & Cool Towels During Tour, Parkings, Toll & Petrol","Siem Reap, Cambodia",
3314,3314,3-Day Private Tour of Top Temples in the Angkor Region,Multi-day-Tours,, 3 days  (approx.),$238.00 ,"Air-conditioned vehicle for transportation, all expenses on petrol, driver, etc., Hotel pick up & drop off facility, Professional English-speaking tour guide, Fully private tour, Bottled water, The entry fee for temples is valid for up to 3 days","Siem Reap, Cambodia",
1722,1722,1783. Private charter car! Phnom Penh city to any tourist spots around city,30–90 minutes,,30–90 minutes,63,"Air-conditioned vehicle, Fuel surcharge, Parking Fees, Private transportation, Hotel pick-up & drop off, Provide name sign when pick up","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
1183,1183,1244. Pre-Angkor Preservation at Roluos,Bus Tours,,3 hours,100,"A half-day tour with a professional English-speaking guide., Transportation by car / mini-van / coach with professional driver, All entrance and donation fees for visits as mentioned in the description., All applicable taxes and service charges, Entry/Admission - Roluos Temples","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2572,2572,Full Day Banteay Srei and Grand Circuit Temples,Day-Trips,35.0, 7 hours (approx.),$25.00 ,"Licensed and experienced English Speaking tour guide, Air-con vehicle, Hotel pickup and drop off, Bottled water, Local tax","Siem Reap, Cambodia",star-5
1059,1059,1120. Private Excursion to Battambang,Bus Tours,1.0,7–9 hours,256.42,"Private Tour Guide, Private Transportation, Pure Drinking Water, hotel pick up & drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
540,540,601. Full-Day Angkor Wat & All Interesting Major Temples with Banteay Srei Temple,Full-day Tours,13.0,8–9 hours,75,"Air-conditioned vehicle with driver, English Speaking Guide with licensed, Start pick up at your hotel and finish drop you at hotel, Cool waters and Cool wet towels, Parking fees & Road tolls","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3242,3242,9-day highlights of Siem Reap Angkor Complex & Phnom Penh,Multi-day-Tours,, 9 days  (approx.),"$1,220.52 ","Air-conditioned vehicle, Accommodation in Double/Twin shared with daily breakfast, English-speaking tour guide (other languages available upon request), Entrance fees as mentioned in the program, Water during transfer, Breakfast (8), Lunch (6), Dinner (2)","Krong Siem Reap, Cambodia",
1678,1678,1739. Cooking Class Menu A,Cooking Classes,,3 hours,27.5,Lunch,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2796,2796,A Half Day Tour in Phnom Penh City,Half-day-Tours,31.0, 4 hours (approx.),$39.00 ,"Provide Cold Water, English Speaking Local Guide","Phnom Penh, Cambodia",star-4.5
3637,3637,Full Day Preah Khan and Neak Pean Temples Tour,Full-day-Tours,, 8 hours (approx.),$60.00 ,"Hotel Pick up and Drop off, Professional guide and driver, 1 bottled water per person, Lunch, Transport by A/C sedan, or minivan depending on the number of travelers","Siem Reap, Cambodia",
3478,3478,One Day Private Guide Tour to Beng Mealea and Koh Ker,Day-Trips,, 9 hours (approx.),$182.57 ,"Private transportation by modern air-conditioned vehicle, Professional Licensed English Speaking guide, Sightseeing as specified in the itinerary including entrance fees, Meals as specified in itinerary (1 lunch), 02 bottles of mineral water per person while sightseeing and transfers, VAT and all taxes and service charge, Included admission fee to visit the temples in Angkor Archaeological Park single-day ticket $37.00","Siem Reap, Cambodia",
2532,2532,Full-Day Tour of Preah Ang Thom and Phnom Kulen Waterfall,Day-Trips,1.0, 7 hours (approx.),$42.75 ,"Pick up at around 8am and drop off around 5pm, Phnom Kulen Pass, English Speaking Guide, Cold Waters and Cold Towels","Siem Reap, Cambodia",star-5
1757,1757,1818. Half-Day ATV Grand Sunset Tour,Adventure Tours,,2 hours,64,"Bottle of water and fresh towel after the tour, Driver/Instructor, Hotel pickup and drop-off ( in the city of Siem Reap only), Helmet, Face mask and Rain coat ( in case of rain), Private tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1923,1923,1984. 4 Days Siem Reap Discovery,Bus Tours,,3+ days,515,"Lunch, Lunch, Breakfast, Dinner, Dinner, Meet and greet service at airport/ Private transportation by air-conditioned vehicle, Porterage for 1 piece of standard sized luggage + 1 hand carry per person for arrival & departure transfer, Admissions according to the itinerary/ Services of an English Speaking Local Guide, Entry/Admission - Ta Prohm, Entry/Admission - Srah Srang, Entry/Admission - Ta Keo, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom, Entry/Admission - Angkor Wat","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
95,95,126. Full-Day Temples of Angkor Small Group Tour,Bus Tours,574.0,6+ hours,13,"Hotel pickup and drop-off, licensed and experienced English speaking tour guide, Transport by air-conditioned minivan, Mineral water & cool towel, Local tax","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1020,1020,1081. 2 Way Siem Reap Airport Transfers,30 minutes,,30 minutes,10.67,Transfer from and to airport or hotel only,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
563,563,624. Private Angkor Wat Sunrise & Angkor Complex by English Speaking Minivan Driver,7–8 hours,10.0,7–8 hours,90,"Air-conditioned vehicle, Parking Fees, English Speaking Driver, Cool Water and cool Towels, Private, comfortable and hassle free","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3312,3312,Explore Angkor Wat Sunset Watching Private Experience,Full-day-Tours,, 8 hours (approx.),$97.44 ,"Air-conditioned vehicle, English tour guide, Cold water & cold towel","Siem Reap, Cambodia",
2790,2790,Phnom Penh Airport Transfers,Airport-and-Ground-Transfers,2.0, 30 to 40 minutes (approx.),$12.00 ,"Air-conditioned vehicle, A friendly driver","Phnom Penh, Cambodia",star-3
863,863,924. Sihanoukville Airport Transfer (Airport - Hotel - Airport),30–59 minutes,2.0,30–59 minutes,49,"Meet and greet at the arrival airport terminal exit/hotel in city/pier/port, Pick up from airport/hotel in city/cruise port GATE1/boat pier, Drop off at your hotel in the city/cruise port GATE1/boat pier, One way transfer by air con vehicle, Friendly professional driver","Asia, Cambodia, Sihanoukville Province, Sihanoukville, Things to Do in Sihanoukville, Sihanoukville Tours, Tours and Tickets",4.5
1484,1484,1545. Phnom Penh And Siem Reap Road Trip Sigthseeing With English Speaking Driver,Full-day Tours,,9–12 hours,109,"Private English speaking driver guided trip, Gasoline, Tool, Parking, Passenger insurance included","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2939,2939,"Sun Set Angkor Wat, South Gate, Bayon plus Street Food",Half-day-Tours,1.0, 4 to 5 hours (approx.),$30.00 ,"English Speaking Tour Guide, Private comfortable vehicle, One Local Beer, Fruit Juice, snacks, Bottled water","Siem Reap, Cambodia",star-5
1881,1881,1942. Angkor Borei and Phnom Da Tour,Bus Tours,,6–8 hours,138.47,"All taxes, fees and handling charges, Lunch, Professional guide, Hotel pickup and drop-off, Transport by air-conditioned minivan, Entry/Admission - Angkor Borei Museum, Entry/Admission - Phnom Da","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
1038,1038,1099. Full-Day Bike Tour in Siem Reap with Zipline,Adventure Tours,1.0,6+ hours,97.9,"Bicycle, Helmet for zip line tour, Harness, Helment for bicycle, Lunch, Insurance, Entry/Admission - West Baray","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
206,206,237. Peppery on Two Wheels,"Vespa, Scooter & Moped Tours",13.0,4–30 minutes,38,"Professional Tour Guide, Bottled water, First Aids, Scooter & Helmet, Lunch","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets",5
392,392,453. Full-Day Phnom Penh City & Silk Island with a local Tuk Tuk Tours,Tuk Tuk Tours,,6–7 hours,75,"Cold bottle of water during your trip, Private English Speaking Guide, Hotel pickup and drop-off, Private Transportation ( Tuk Tuk ) & Tour Guide, All entrance fees are mentioned below, Entry/Admission - Mekong Island - Koh Dach, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - Wat Phnom","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
2842,2842,Angkor Region & Rainforest Bike Tour,Nature-and-Wildlife,29.0, 8 hours (approx.),$40.00 ,"English speaking tour guide, Quality mountain bike (Giant/Trek), Helmet, Lunch, Fresh coconut juice, Pure drinking water","Krong Siem Reap, Cambodia",star-5
870,870,931. Siem Reap Temple and Waterfall 3-Day Tour,Bus Tours,2.0,3 days,171.5,"Pick Up & Drop Off in Siem Reap, Car, Van or Minibus with A/C, Cool Water and Cool Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",4.5
397,397,458. Angkor Wat Sunrise Tour By TukTuk,Full-day Tours,,9–10 hours,43,"English Speaking Tour guide, Transportation TukTuk and Bottled of mineral Water.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2814,2814,Full 2-Day Explore Angkor with Tonle Sap Private small group,Overnight-Tours,2.0, 2 days  (approx.),$121.60 ,"Air-conditioned vehicle, English-Speaking Guide, Cool Water and Towels, Local Snacks","Siem Reap, Cambodia",star-5
3626,3626,Full-Day Angkor Temple Bike Tour from Siem Reap Inclusive of Lunch,Nature-and-Wildlife,, 8 hours 30 minutes (approx.),$44.00 ,"Professional guide, Use of bicycle and safety equipment, Lunch, Bottled water, Snacks","Siem Reap, Cambodia",
